RecallID,RecallNumber,RetailerFirm
8222,18712,The Land of Nod stores nationwide and online from May 2015 through September 2017 for about $500.
8223,18073,"Distributed in Colorado, Montana, Nebraska, South Dakota and Wyoming, delivered by various companies and sold by various retailers from April 2015 through October 2017."
8221,18711,"The Veterans Administration in Richmond, Virginia, Milwaukee, Wisconsin and St. Louis, Missouri and online at Indemedical.com, Vidacura.com, Access to Recreation.com, Sportaid.com, The Access Store.com, Austin Wheelchair Co.com and intimaterider.com from September 2017 through November 2017 for about $365 for the chair and $159 for the bench."
8220,18069,"Rocky Mountain bicycle dealers nationwide from June 2017 through November 2017 for between $2,600 and $7,300."
8218,18710,Shoes For Crews catalog and website from August 2017 through October 2017 for between $80 and $135.
8219,18071,"Amazon.com, Wayfair.com, Hayneedle.com and various home furnishing stores nationwide from June 2017 through September 2017 for about $150."
8216,18072,"Authorized Honda Power Equipment dealers and Home Depot stores nationwide from September 2016 through November 2017 for about $1,150."
8217,18074,"Specialty bicycle stores and Brompton dealers nationwide from April 2014 through September 2017 for between $1,200 and $3,000"
8215,18709,"John Deere dealers nationwide from March 2012 through November 2017 for between $13,400 and $16,100."
8212,18707,Bits and Pieces mail order catalog and online at www.bitsandpieces.com from October 2017 through December 2017 for about $50.
8213,18708,"Polaris dealers nationwide from September 2017 through October 2017 for between $22,500 and $25,500."
8214,18070,"Bass Pro Shops stores, catalog, and online at basspro.com from October 2016 through August 2017 for about $25."
8208,18063,"Matrix Fireworks of Wahpeton, N.D. from May 2017 through August 2017 for about $15."
8209,18064,"Del Mar Fans & Lighting, Pacific Ceiling Fans, Wilson Lighting and other lighting stores nationwide and online from January 2016 through September 2017 for between $500 and $550."
8211,18066,Online at squattypotty.com and Amazon.com from September 2017 through November 2017 for about $50
8210,18065,Amazon.com from May 2016 through May 2017 for between $50 and $150.
8207,18062,"Costco stores nationwide and online at Costco.com from January 2016 through August 2017 for about $130; refurbished fans were sold online during the same period on eBay, Amazon, and Groupon."
8205,18059,Pier 1 Imports stores nationwide and online at www.Pier1.com from June 2017 through November 2017 for about $25 for the small glass pumpkin and about $30 for the medium glass pumpkin.
8206,18061,"Bloomingdale?s, Hush Life Boutique, SoulCycle and Todd Snyder stores nationwide and online at www.amazon.com, www.net-a-porter.com, www.soulcycle.com and www.toddsnyder.com from August 2014 through October 2017 for between $140 and $150."
8203,18058,"Amazon.com, Kohls.com, ToyRUs.com, Walmart.com and Wayfair.com from January 2016 through December 2016 for between $40 and $90."
8204,18705,"John Deere dealers nationwide from March 2017 through October 2017 for between $12,000 and $13,900."
8202,18057,"Bass Pro Shops, Cabela?s, Dicks Sporting Goods stores and other stores nationwide from October 2016 through November 2017 for between $8 and $15 when sold separately from other equipment. The arrow nocks were also included as original equipment with Ravin crossbows sold for between $1,500 and $2,000 and Ravin arrows sold for between $75 and $110."
8201,18056,Foreman Mills stores nationwide from September 2016 through November 2017 for about $6.
8200,18055,"Online at Amazon.com, apelectricgenerators.com, Climate Right.com, Homedepot.com, Houzz.com, Menards.com, PowerEquipmentDirect.com, and Walmart.com from June 2017 through October 2017 for between $580 and $600."
8199,18053,"Industrial, construction, welding supply distributors, including Purvis Industries, WeldStar Co., Pennsylvania Tool Sales and Service, and online at OhioPowerTool.com from April 2017 through October 2017 for about $350."
8198,18047,Fry?s electronics stores nationwide and online at Frys.com and Amazon.com from June 2017 through October 2017 for about $20.
8197,18052,"West Elm stores nationwide, West Elm?s catalog and online at www.westelm.com from June 2014 through October 2017 for about $130 for the lamp with a USB and for between $80 and $100 for the lamp without a USB."
8196,18051,"Powersports dealers nationwide from August 2016 through May 2017 for about $4,800."
8194,18050,"Design Within Reach, Lumens, Ylighting, and other lighting stores and online at Flos.com from January 1996 through December 2006 for between $800 and $1,900."
8195,18704,"Authorized Kubota dealers nationwide from June 2015 through June 2017 for between $15,000 and $25,000."
8193,18049,"Albertsons/Safeway, Giant, Harris Teeter, Meijer, Stop & Shop and Rite-Aid stores nationwide and online at Jet.com and Amazon.com from June 2017 through October 2017 for about $19."
8192,18046,"Libbey outlet stores in Shreveport, Louisiana and Toledo, Ohio, Total Wine stores nationwide, various distillery gift shops, commercial customers for use in restaurants, and online at libbey.com, iwawine.com and kybourbontrailshop.com from May 2017 through October 2017 for between $20 and $25 for the four-piece set, and $6 for the glass sold individually."
